id,puzzle,solution,clues,difficulty
321328,1.2...5....3..4....5....1.3.....1.....439....9....2.617..9....53...2.6......8.732,162839574873154926459267183235671498614398257987542361726913845348725619591486732,26,3.8
789603,7....65..63..1.8......7...3.4.9..3.........1......1.5...164....8.4.3...7.2...9...,782396541639514872415278693148957326257863419963421758371642985894135267526789134,24,3.8
823826,..962...72..3.1.....7...8.........8...4.5..92......5..5..76.2..........89...3.7.6,159628437248371965367549821725496183834157692691283574583764219476912358912835746,24,3.8
1132899,...5....7.8....3..6.1...2..16..83.....7...4....8.14...4..17...3.5..4.......3....6,342561897985427361671938254164283975237695418598714632426179583753846129819352746,24,3.8
2772246,6.....2....5...1..17...2.48.....6..54.8.3.........78.....9.4....4....76381.......,694813257285749136173652948927486315458231679361597824732964581549128763816375492,24,3.8
2757075,...35.7.1.........3..1..94882.........9..5.8.....19..479....4.32.3.6..7..5...3..2,986354721412798356375126948824637519139245687567819234791582463243961875658473192,28,3.8
676774,6.....27.54...39.1..9..2.....52....3...5..1..4...86....94......7..8...3.3...6....,631958274542673981879142356965217843283594167417386592194735628756821439328469715,25,3.8
2125268,.....2..12..3..7647...5..2..9......2.4.7.1..6..68.5...8.....3...7..........5.3...,639472851251389764784156923597634182348721596126895437865217349473968215912543678,24,3.8
2506973,81....6..6....29...43.8..............9.72....3......19....3..4.76..153..2....7..6,812579634675342981943186572587961423491723865326854719159638247764215398238497156,25,3.8
2527235,1.9.......6..8.....8.5........8.91.....25.9.4.5..7..2.....1..47..6....1.7..4.3..6,149367258567982431283541769624839175371256984958174623892615347436798512715423896,25,3.8
2873690,.9...7.3.1...8...9.35....7...1....68...52.4.......9...64.1.3......8....6..3.....7,896457132174382659235961874921734568367528491458619723649173285712895346583246917,24,3.8
1248946,...16....1.....5...9.8....29.27.64...8.......3..25.1...3..2...1......6.7..5..7.9.,453162978128973546697845312912736485586491723374258169739624851241589637865317294,25,3.8
1020221,1....8.34.6........5.........65.7.2.....4...9..468...5.259.6...94..7.......8..5..,179258634862439751453761982316597428587142369294683175725916843948375216631824597,25,3.8
27903,....5.8.472..8.9....91....33..82.5....5...29.6.............8......6....5.4..7....,163259874724386951859147623397824516415763298682915437531498762978632145246571389,23,3.8
28883,..32.......5.....24....58....6..4....4....7.95.8..9.3........1..1......5....8397.,893247651765891342421365897936714528142538769578629134687952413319476285254183976,23,3.8
796149,76.85....8..........2.........53...2.782....6.5...84.3........8.....46.5.1...6.9.,764851329831962754592473861146537982378249516259618473623795148987124635415386297,24,3.8
