id,puzzle,solution,clues,difficulty
88915,4...8..3...923...4.1....2..3.7.2..1.....14....8.....6....7.....1.2..98.........5.,425687139679231584813495276347526918956814723281973465538742691162359847794168352,23,5.5
2606760,2.3..1.6.5.......8.6...92..7.6......15.............6496..2.3.1...75........7.68..,273841965591627438468359271746938152159462783832175649684293517917584326325716894,25,5.5
89995,5.18..4......56....8........1...4..2.6..2....3....7..8.3.5..1.........9....19..86,521839467497256813683741259719684532864325971352917648936578124178462395245193786,23,5.5
1200290,.2.1.......8....5119....3.......6528....9.7....4..5.....57.9....6.....4..32.8....,523168497748932651196547382379416528251893764684275913415729836867351249932684175,24,5.5
2892686,.6..734.....4..8...7...5.9...9..1....36.....27...6.....8.....4..278....53.5..7...,968273451513496827274185693849321576136754982752968134681532749427819365395647218,25,5.5
2385960,.......7..4.3.1....5......886..4.7......621..9.......5.....6..27..2..35...5......,389654271247381596651729438863145729574962183912837645438576912796218354125493867,22,5.5
1500109,..4...5.6.....8.94....6....3.....1..5....9.72..617...5.....7...2..9....1...3.2.4.,734291586162758394859463217347825169518639472926174835491587623283946751675312948,24,5.5
1095369,....8.....2.7..4...85.1..92.396...25...2..6...16.......4.1..8...5..2...7.......5.,463982571921735486785416392839641725574293618216578934342157869658329147197864253,25,5.5
147641,3.....21.....6.7.5..5..2.9.4.829.......48..6..3...1...9.2...8...14.......8..19...,367945218129368745845172396458296173791483562236751984972634851514827639683519427,26,5.5
2774985,..2.47......8.....37....1....6...9.3...4...8.49.......9653.....7...84..6....5..2.,612547839549813762378269154856721943237495681491638275965372418723184596184956327,24,5.5
2345458,5.....2...89.5.4.....6.4.3.8.3......15...8..6....3..2......6..1..75...9..........,534817269689352417721694835873261954152948376946735128395426781417583692268179543,22,5.5
1949869,53.7.9..6.9.........4......4...8...5.5...61..1....4..97..6..8...1...37.....57...1,538719246291468537674235918469187325853926174127354689742691853915843762386572491,25,5.5
1310751,5..4....9.4..1...68.639..4..697.....3.8.......1.8...3.......5.41......2.....5.9..,531486279947512386826397145469731852378625491215849637693278514154963728782154963,25,5.5
889142,....1........8413..2.6....8..61.....2.....59.....9..4.8..7...149.......3.7..4.6..,384517269659284137721639458496158372238476591517392846863725914945861723172943685,24,5.5
2423677,8.4.2.....3.6...7..5....4.25.9.8.....1...3..8.......5.6..1...8......6..74..2..96.,894527316132694875756318492569481723217953648348762159675139284921846537483275961,25,5.5
170829,..7.8...4.58..4.6.3..1......26.7...9.359..72...............3158.......3..8..2....,617285394958734261342196875426378519835941726791652483279463158564817932183529647,25,5.5
1332908,....36.....7..2..54.......9.........35.....62..2.9.37...87.....9...1...7...8..9..,521936748897142635436587219674328591359471862182695374248769153965213487713854926,22,5.5
1924246,.3.8..7.....1.......5..2..14....7......3.9.........1585..2..3....2...86..9..6.4..,931856742724193586685472931416587293258319674379624158567248319142935867893761425,23,5.5
2985374,95.8..7....6....8..8..2....7.3...6..4....51......4..9....7613.....53...1.....4...,954813762126457983387629514793182645462975138815346297248761359679538421531294876,24,5.5
1713913,.4.7..8...32..84.....3...65..4..............9.1...32.6.2......4...8.2.5...965....,641795823532168497897324165764219538253486719918573246125937684376842951489651372,24,5.5
193050,...8.7.59.7.2..3...9.3......3.......2..1...84..1..6..59...1......6......3..7..89.,143867259678295341592341678739584162265173984481926735957618423826439517314752896,24,5.5
2096471,5.38...69....5.......91.....75......8..79.4....4...6.3..62..1........79.1......4.,513847269649352817782916534375624981861793425924185673436279158258431796197568342,24,5.5
2979083,34...5....7..6..93.....71..5..8..42.4.8.....19...7...........1..9.3.....7.5..2..9,349215768271468593856937142537891426468523971912674385623759814194386257785142639,25,5.5
1462278,3..6..8.5..1..59.....3.....4..........3..1..7..673..9.2.....4.9.4..5.16....8...5.,392617845871245936564398271427569318953481627186732594235176489748953162619824753,25,5.5
1027373,8.26....7.9....1......3.......4...1.6....39...5.29..8.5..1.6.24...3.....7....9...,812654397396782145475931268928465713647813952153297486539176824261348579784529631,24,5.5
2696457,.7..9...88..4.6....52......4.6.3..........1.9..5....2.....6..9..3.9.4..5...12.7..,674392518813456972952817463496231857327685149185749326748563291231974685569128734,24,5.5
2999763,..47.........8.6.5....6.24.7..........9..145.2..8..3...9.....2..25....8.8...5...1,964725138312984675578163249743596812689231457251847396196378524425619783837452961,24,5.5
203602,213...9....9.8.6.........2.....4....7..5...8....37.2..9.67.......2..1..5.7....3..,213467958549283671867915423628149537734526189195378264956734812382691745471852396,23,5.5
2801746,.3.9.5..2.1...34.....4....6.......81...82...5..7......2........4.3.56.....17...9.,734965812916283457528417936342579681169824375857631249275398164493156728681742593,23,5.5
1998670,...1.68...2...8.7.3.......5..6.8...71.....9...8...2..1.....5.4..639......4.2..5..,475136892629548173318729465956481237132657984784392651291875346563914728847263519,24,5.5
2502120,...7...89..78.6...2.......53.129.....8.6...9.4....8..7......34..4.9....8...5.....,634725189957816432218439765361297854785641293492358617579182346146973528823564971,24,5.5
2370152,..7..8..28...6..5.........76...5.....3.9..1......1.79..4.....8....3..5..9564.....,497538612823761459561249837619857243735924168284613795342175986178396524956482371,23,5.5
2590954,3..6....2........7.6.9.14.......92....38...5484....9......1....13...5...4562.....,381674592294583167567921483675439218913862754842157936729316845138745629456298371,25,5.5
1570830,.1.....87..5.2.....768............748....1.....2...5.8...4...3......3.969....74..,219345687385726149476819253591268374847531962632974518168492735724153896953687421,23,5.5
230033,........81....79.....652......8..6149....4.7.....6.....91..6....245..3.6.5..2....,247913568165487923389652147532879614916234875478165239891346752724591386653728491,25,5.5
891409,2........6.54....1..1...3.287..5.......64......27...9.....6..8.....9.7.69..3.41..,287136549635429871491587362876952413319648257542713698753261984124895736968374125,25,5.5
2922525,...4.8..7.75.1..9.2...9............1963.......2..8.5..3.............476...9.2...4,196438257475612398238597416584279631963145872721386549347861925812954763659723184,23,5.5
1787912,.8..924.........15..9...2...42......9.......3.387.9.2...71..5......68........3...,185392467423687915769451238642835791971246853538719624397124586214568379856973142,23,5.5
1462481,...87..4..35..4....7......2.....6..7..6.8.4..4.92...3..8.9....6.....5...56.......,691872543235164879874539162358496217726381495419257638182943756947625381563718924,23,5.5
2783374,....31.6......2..4.3..5.....79....1.3..1....6..8...23..2.5....1...2.4...6.1..3..5,594831762817692354236457189479326518352178496168945237723569841985214673641783925,25,5.5
